"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Янв. '04","551,72","514,71","567,98","514,71","-","7,19%"
"Февр. '04","591,09","551,72","592,05","538,16","-","7,14%"
"Март '04","644,64","591,09","648,31","579,98","-","9,06%"
"Апр. '04","561,78","644,64","688,53","547,72","-","-12,85%"
"Май '04","535,40","561,78","584,69","503,83","-","-4,70%"
"Июнь '04","534,84","535,40","576,31","486,36","-","-0,10%"
"Июль '04","502,81","534,84","560,73","466,39","-","-5,99%"
"Авг. '04","549,28","502,81","551,66","488,91","-","9,24%"
"Сент. '04","611,03","549,28","613,56","542,47","-","11,24%"
"Окт. '04","632,97","611,03","710,61","601,67","-","3,59%"
"Нояб. '04","570,76","632,97","649,49","565,16","-","-9,83%"
"Дек. '04","552,22","570,76","570,88","483,55","-","-3,25%"
"Янв. '05","575,74","552,18","583,62","532,26","-","4,26%"
"Февр. '05","635,38","575,74","635,42","572,47","-","10,36%"
"Март '05","598,04","635,38","635,83","566,27","-","-5,88%"
"Апр. '05","593,88","598,05","634,48","586,34","-","-0,70%"
"Май '05","603,89","593,94","606,54","563,24","-","1,69%"
"Июнь '05","639,98","603,89","642,26","596,98","-","5,98%"
"Июль '05","700,65","639,98","708,89","639,35","-","9,48%"
"Авг. '05","784,28","700,54","788,52","691,79","-","11,94%"
"Сент. '05","892,50","784,28","900,41","748,46","-","13,80%"
"Окт. '05","842,52","892,76","957,16","773,45","-","-5,60%"
"Нояб. '05","944,55","842,52","954,96","837,81","-","12,11%"
"Дек. '05","1.011,00","944,55","1.032,73","944,55","-","7,04%"
"Янв. '06","1.171,44","1.012,31","1.242,08","1.011,00","-","15,87%"
"Февр. '06","1.320,83","1.171,44","1.424,62","1.158,12","-","12,75%"
"Март '06","1.299,19","1.320,83","1.367,98","1.205,30","-","-1,64%"
"Апр. '06","1.486,85","1.299,19","1.519,00","1.297,04","-","14,44%"
"Май '06","1.281,50","1.486,85","1.616,32","1.120,06","-","-13,81%"
"Июнь '06","1.331,39","1.281,50","1.389,21","1.062,82","-","3,89%"
"Июль '06","1.380,24","1.331,39","1.403,18","1.255,05","-","3,67%"
"Авг. '06","1.448,72","1.380,30","1.498,67","1.363,67","-","4,96%"
"Сент. '06","1.367,24","1.448,72","1.482,21","1.253,38","-","-5,62%"
"Окт. '06","1.426,86","1.367,27","1.466,82","1.304,65","-","4,36%"
"Нояб. '06","1.550,58","1.426,87","1.558,83","1.426,86","-","8,67%"
"Дек. '06","1.693,47","1.550,70","1.698,44","1.546,42","-","9,22%"
"Янв. '07","1.656,94","1.692,14","1.695,50","1.528,85","-","-2,16%"
"Февр. '07","1.655,25","1.656,95","1.756,85","1.608,85","-","-0,10%"
"Март '07","1.698,08","1.655,23","1.730,36","1.484,69","-","2,59%"
"Апр. '07","1.697,28","1.698,09","1.780,54","1.668,65","-","-0,05%"
"Май '07","1.570,34","1.697,28","1.707,23","1.485,66","-","-7,48%"
"Июнь '07","1.665,96","1.570,41","1.703,53","1.555,67","-","6,09%"
"Июль '07","1.734,42","1.665,96","1.817,58","1.665,28","-","4,11%"
"Авг. '07","1.677,02","1.734,41","1.736,66","1.567,40","-","-3,31%"
"Сент. '07","1.759,44","1.677,02","1.763,33","1.630,83","-","4,91%"
"Окт. '07","1.874,73","1.759,44","1.885,10","1.724,32","-","6,55%"
"Нояб. '07","1.850,64","1.875,11","1.933,20","1.761,61","-","-1,28%"
"Дек. '07","1.888,86","1.850,64","1.970,46","1.832,01","-","2,07%"
"Янв. '08","1.574,33","1.888,86","1.942,36","1.509,70","-","-16,65%"
"Февр. '08","1.660,42","1.574,33","1.746,94","1.549,62","-","5,47%"
"Март '08","1.628,43","1.660,42","1.698,40","1.550,78","-","-1,93%"
"Апр. '08","1.667,35","1.628,43","1.717,72","1.615,82","-","2,39%"
"Май '08","1.925,24","1.667,35","1.966,32","1.667,35","-","15,47%"
"Июнь '08","1.753,67","1.925,24","1.932,00","1.725,53","-","-8,91%"
"Июль '08","1.495,33","1.753,67","1.759,95","1.416,18","-","-14,73%"
"Авг. '08","1.348,92","1.495,33","1.504,63","1.244,12","-","-9,79%"
"Сент. '08","1.027,66","1.348,92","1.381,00","789,38","-","-23,82%"
"Окт. '08","731,96","1.027,66","1.052,25","493,62","-","-28,77%"
"Нояб. '08","611,32","731,96","871,41","503,55","-","-16,48%"
"Дек. '08","619,53","611,32","675,93","538,15","-","1,34%"
"Янв. '09","624,90","619,53","671,61","534,79","-","0,87%"
"Февр. '09","666,05","624,90","743,31","602,72","-","6,59%"
"Март '09","772,93","666,05","869,81","638,66","-","16,05%"
"Апр. '09","920,35","772,93","942,58","758,09","-","19,07%"
"Май '09","1.123,38","935,16","1.125,59","935,16","-","22,06%"
"Июнь '09","971,55","1.142,63","1.226,62","881,79","-","-13,52%"
"Июль '09","1.053,30","974,23","1.057,41","852,12","-","8,41%"
"Авг. '09","1.091,98","1.059,29","1.135,76","1.013,82","-","3,67%"
"Сент. '09","1.197,20","1.094,65","1.241,05","1.069,83","-","9,64%"
"Окт. '09","1.237,18","1.200,69","1.388,73","1.144,84","-","3,34%"
"Нояб. '09","1.284,95","1.237,04","1.391,79","1.206,82","-","3,86%"
"Дек. '09","1.370,01","1.284,99","1.412,27","1.284,99","-","6,62%"
"Янв. '10","1.419,42","1.370,30","1.491,36","1.363,03","-","3,61%"
"Февр. '10","1.332,64","1.419,42","1.455,51","1.294,24","-","-6,11%"
"Март '10","1.450,15","1.332,97","1.461,89","1.332,97","-","8,82%"
"Апр. '10","1.436,04","1.450,16","1.539,63","1.424,26","-","-0,97%"
"Май '10","1.332,62","1.436,04","1.448,67","1.195,09","-","-7,20%"
"Июнь '10","1.309,31","1.332,62","1.407,91","1.289,50","-","-1,75%"
"Июль '10","1.397,12","1.309,31","1.425,01","1.253,52","-","6,71%"
"Авг. '10","1.368,90","1.397,15","1.433,57","1.328,18","-","-2,02%"
"Сент. '10","1.440,30","1.368,93","1.452,18","1.364,59","-","5,22%"
"Окт. '10","1.523,39","1.440,30","1.538,43","1.436,32","-","5,77%"
"Нояб. '10","1.565,52","1.523,40","1.597,51","1.515,13","-","2,77%"
"Дек. '10","1.687,99","1.565,60","1.701,70","1.565,60","-","7,82%"
"Янв. '11","1.723,42","1.688,00","1.788,74","1.687,36","-","2,10%"
"Февр. '11","1.777,84","1.723,45","1.780,36","1.674,06","-","3,16%"
"Март '11","1.813,59","1.777,84","1.820,13","1.681,08","-","2,01%"
"Апр. '11","1.741,84","1.813,59","1.865,25","1.707,69","-","-3,96%"
"Май '11","1.666,30","1.741,82","1.747,21","1.569,61","-","-4,34%"
"Июнь '11","1.666,59","1.666,84","1.704,54","1.601,12","-","0,02%"
"Июль '11","1.705,18","1.666,53","1.748,30","1.656,21","-","2,32%"
"Авг. '11","1.546,05","1.705,22","1.741,72","1.355,38","-","-9,33%"
"Сент. '11","1.366,54","1.546,05","1.559,51","1.279,23","-","-11,61%"
"Окт. '11","1.498,60","1.366,45","1.552,16","1.242,75","-","9,66%"
"Нояб. '11","1.499,62","1.498,56","1.535,88","1.363,26","-","0,07%"
"Дек. '11","1.402,23","1.499,62","1.523,86","1.323,20","-","-6,49%"
"Янв. '12","1.514,03","1.402,25","1.519,53","1.401,21","-","7,97%"
"Февр. '12","1.597,67","1.514,02","1.607,69","1.504,16","-","5,52%"
"Март '12","1.517,34","1.597,67","1.639,62","1.486,93","-","-5,03%"
"Апр. '12","1.473,50","1.517,33","1.556,50","1.439,96","-","-2,89%"
"Май '12","1.306,42","1.473,50","1.489,90","1.241,62","-","-11,34%"
"Июнь '12","1.387,52","1.306,43","1.397,33","1.278,56","-","6,21%"
"Июль '12","1.407,02","1.387,52","1.458,33","1.353,58","-","1,41%"
"Авг. '12","1.422,91","1.407,01","1.470,72","1.386,98","-","1,13%"
"Сент. '12","1.458,26","1.422,90","1.541,68","1.420,33","-","2,48%"
"Окт. '12","1.425,70","1.458,30","1.492,01","1.419,66","-","-2,23%"
"Нояб. '12","1.405,97","1.425,71","1.453,47","1.360,07","-","-1,38%"
"Дек. '12","1.474,72","1.405,97","1.490,51","1.403,70","-","4,89%"
"Янв. '13","1.546,76","1.474,73","1.566,42","1.474,73","-","4,88%"
"Февр. '13","1.486,04","1.546,52","1.555,82","1.481,11","-","-3,93%"
"Март '13","1.438,57","1.486,06","1.516,49","1.407,23","-","-3,19%"
"Апр. '13","1.385,88","1.438,84","1.442,70","1.320,76","-","-3,66%"
"Май '13","1.350,17","1.385,88","1.453,58","1.340,53","-","-2,58%"
"Июнь '13","1.330,46","1.350,17","1.358,03","1.271,48","-","-1,46%"
"Июль '13","1.375,79","1.330,46","1.439,60","1.319,97","-","3,41%"
"Авг. '13","1.364,65","1.376,31","1.425,03","1.353,73","-","-0,81%"
"Сент. '13","1.462,82","1.364,75","1.501,32","1.364,27","-","7,19%"
"Окт. '13","1.510,21","1.462,82","1.538,74","1.449,77","-","3,24%"
"Нояб. '13","1.479,35","1.509,58","1.521,02","1.464,61","-","-2,04%"
"Дек. '13","1.504,08","1.479,32","1.510,82","1.425,32","-","1,67%"
"Янв. '14","1.454,45","1.504,14","1.511,69","1.444,45","-","-3,30%"
"Февр. '14","1.444,71","1.453,55","1.518,12","1.426,29","-","-0,67%"
"Март '14","1.369,29","1.438,02","1.438,02","1.182,89","-","-5,22%"
"Апр. '14","1.306,01","1.369,32","1.388,00","1.260,43","-","-4,62%"
"Май '14","1.432,03","1.304,93","1.456,66","1.289,80","-","9,65%"
"Июнь '14","1.476,38","1.432,67","1.519,04","1.432,67","-","3,10%"
"Июль '14","1.379,61","1.476,28","1.531,99","1.356,64","-","-6,55%"
"Авг. '14","1.400,71","1.378,03","1.469,40","1.306,87","-","1,53%"
"Сент. '14","1.411,07","1.401,34","1.483,60","1.386,41","-","0,74%"
"Окт. '14","1.488,47","1.410,33","1.488,47","1.354,70","-","5,49%"
"Нояб. '14","1.533,68","1.488,15","1.548,12","1.471,29","-","3,04%"
"Дек. '14","1.396,61","1.532,89","1.623,00","1.309,82","-","-8,94%"
"Янв. '15","1.647,69","1.394,66","1.706,29","1.390,62","-","17,98%"
"Февр. '15","1.758,97","1.647,74","1.848,13","1.616,32","-","6,75%"
"Март '15","1.626,18","1.759,25","1.825,74","1.569,69","-","-7,55%"
"Апр. '15","1.688,34","1.625,21","1.712,87","1.613,83","-","3,82%"
"Май '15","1.609,19","1.689,55","1.734,33","1.609,19","-","-4,69%"
"Июнь '15","1.654,55","1.610,07","1.679,41","1.610,07","-","2,82%"
"Июль '15","1.669,00","1.654,57","1.669,00","1.570,46","-","0,87%"
"Авг. '15","1.733,17","1.668,13","1.733,17","1.603,72","-","3,84%"
"Сент. '15","1.642,97","1.705,81","1.740,22","1.606,83","-","-5,20%"
"Окт. '15","1.711,53","1.644,52","1.746,67","1.603,48","-","4,17%"
"Нояб. '15","1.771,05","1.710,90","1.873,53","1.701,25","-","3,48%"
"Дек. '15","1.761,36","1.771,05","1.798,81","1.698,93","-","-0,55%"
"Янв. '16","1.784,92","1.761,42","1.788,08","1.583,04","-","1,34%"
"Февр. '16","1.840,17","1.785,01","1.841,56","1.688,13","-","3,10%"
"Март '16","1.871,15","1.841,43","1.923,50","1.825,99","-","1,68%"
"Апр. '16","1.953,05","1.860,53","1.976,69","1.833,61","-","4,38%"
"Май '16","1.899,01","1.932,92","1.957,18","1.861,64","-","-2,77%"
"Июнь '16","1.891,09","1.899,14","1.960,75","1.841,73","-","-0,42%"
"Июль '16","1.944,62","1.891,03","1.959,86","1.860,55","-","2,83%"
"Авг. '16","1.971,59","1.950,49","1.999,14","1.902,74","-","1,39%"
"Сент. '16","1.978,00","1.976,26","2.063,13","1.967,31","-","0,33%"
"Окт. '16","1.989,64","1.981,02","2.006,66","1.946,78","-","0,59%"
"Нояб. '16","2.104,91","1.991,70","2.116,38","1.939,66","-","5,79%"
"Дек. '16","2.232,72","2.110,69","2.258,10","2.110,69","-","6,07%"
"Янв. '17","2.217,39","2.231,52","2.293,99","2.136,35","-","-0,69%"
"Февр. '17","2.035,77","2.219,19","2.236,80","2.027,05","-","-8,19%"
"Март '17","1.995,90","2.034,28","2.076,71","1.965,23","-","-1,96%"
"Апр. '17","2.016,71","1.998,55","2.058,11","1.900,72","-","1,04%"
"Май '17","1.900,38","2.022,19","2.044,24","1.893,39","-","-5,77%"
"Июнь '17","1.879,50","1.900,89","1.904,82","1.774,56","-","-1,10%"
