"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Янв. '19","7,460","7,500","7,660","7,220","1,08%"
"Дек. '18","7,380","7,730","7,980","7,350","-4,53%"
"Нояб. '18","7,730","7,680","7,870","7,530","0,91%"
"Окт. '18","7,660","7,150","7,750","7,040","7,28%"
"Сент. '18","7,140","7,240","7,560","6,970","0,14%"
"Авг. '18","7,130","7,060","8,610","6,860","2,00%"
"Июль '18","6,990","7,100","7,100","6,480","3,56%"
"Июнь '18","6,750","6,560","7,280","6,450","3,53%"
"Май '18","6,520","6,440","6,850","6,250","3,33%"
"Апр. '18","6,310","6,130","7,560","5,930","4,64%"
"Март '18","6,030","6,460","6,550","5,940","-3,52%"
"Февр. '18","6,250","6,720","6,990","6,130","-6,72%"
"Янв. '18","6,700","6,710","6,980","6,480","2,13%"
"Дек. '17","6,560","7,470","7,470","6,530","-9,77%"
"Нояб. '17","7,270","7,590","7,750","7,110","-3,71%"
"Окт. '17","7,550","7,600","7,990","7,360","-0,66%"
"Сент. '17","7,600","7,920","8,150","7,380","-2,94%"
"Авг. '17","7,830","8,140","8,450","7,670","-2,13%"
"Июль '17","8,000","7,990","8,380","7,770","0,50%"
"Июнь '17","7,960","8,530","8,620","7,770","-6,90%"
"Май '17","8,550","8,360","8,990","8,290","2,40%"
"Апр. '17","8,350","9,180","9,600","8,110","-9,34%"
"Март '17","9,210","9,160","9,610","9,030","0,22%"
"Февр. '17","9,190","8,770","9,300","8,590","4,79%"
"Янв. '17","8,770","8,780","9,290","8,260","1,15%"
"Дек. '16","8,670","9,010","9,230","8,580","-3,24%"
"Нояб. '16","8,960","8,860","9,330","8,750","1,13%"
"Окт. '16","8,860","9,610","10,170","8,700","-4,32%"
"Сент. '16","9,260","9,190","9,890","8,960","2,09%"
"Авг. '16","9,070","9,650","10,210","8,980","-10,46%"
"Июль '16","10,130","10,100","10,290","9,560","4,00%"
"Июнь '16","9,740","9,690","10,460","9,650","0,21%"
"Май '16","9,720","9,630","9,930","9,320","1,67%"
"Апр. '16","9,560","9,990","10,260","9,500","-2,15%"
"Март '16","9,770","9,760","10,240","9,120","-0,31%"
"Февр. '16","9,800","10,680","10,680","9,720","-2,39%"
"Янв. '16","10,040","10,450","12,370","9,290","1,93%"
"Дек. '15","9,850","10,780","11,390","9,820","-3,81%"
"Нояб. '15","10,240","11,370","11,500","9,840","-0,19%"
"Окт. '15","10,260","11,130","11,270","9,350","-3,75%"
"Сент. '15","10,660","11,040","11,900","10,420","-1,75%"
"Авг. '15","10,850","10,530","11,250","10,130","3,24%"
"Июль '15","10,510","10,810","10,860","9,810","-2,05%"
"Июнь '15","10,730","10,610","11,260","10,440","-2,19%"
"Май '15","10,970","11,450","11,450","9,870","-0,99%"
"Апр. '15","11,080","13,140","13,250","10,470","-10,50%"
