Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
15.04.2013;CNYRUB_TOM;5,058;5,0567;5,0795;5,06;14;39483600,1;5,062
16.04.2013;CNYRUB_TOM;5,083;5,079;5,086;5,085;8;35067680;5,0823
17.04.2013;CNYRUB_TOM;5,06;5,0505;5,09;5,09;5;25326000;5,0652
18.04.2013;CNYRUB_TOM;0;0;0;0;0;0;5,0652
19.04.2013;CNYRUB_TOM;5,1;5,099;5,1027;5,1027;4;21655294;5,1002
22.04.2013;CNYRUB_TOM;0;0;0;0;0;0;5,1002
23.04.2013;CNYRUB_TOM;5,122;5,12;5,13;5,13;4;17126460;5,1246
24.04.2013;CNYRUB_TOM;5,12;5,115;5,12;5,115;4;11059320;5,1177
25.04.2013;CNYRUB_TOM;5,078;5,078;5,078;5,078;2;8632600;5,078
26.04.2013;CNYRUB_TOM;0;0;0;0;0;0;5,078
29.04.2013;CNYRUB_TOM;5,0576;5,0576;5,0576;5,0576;1;5057600;5,0576
30.04.2013;CNYRUB_TOM;5,045;5,045;5,045;5,045;1;1009000;5,045
02.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,045
03.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,045
06.05.2013;CNYRUB_TOM;5,039;5,036;5,0397;5,0397;4;20151200;5,0378
07.05.2013;CNYRUB_TOM;5,038;5,038;5,0516;5,0516;2;30296000;5,0493
08.05.2013;CNYRUB_TOM;5,057;5,057;5,0665;5,0665;2;6330750;5,0646
10.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,0646
13.05.2013;CNYRUB_TOM;5,109;5,093;5,109;5,093;4;5124291,7;5,109
14.05.2013;CNYRUB_TOM;5,096;5,096;5,096;5,096;1;1274000;5,096
15.05.2013;CNYRUB_TOM;5,12;5,12;5,131;5,131;2;5509956;5,1208
16.05.2013;CNYRUB_TOM;5,1065;5,105;5,11;5,11;3;15321500;5,1072
17.05.2013;CNYRUB_TOM;5,1145;5,1145;5,1145;5,1145;1;992213;5,1145
20.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,1145
21.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,1145
22.05.2013;CNYRUB_TOM;5,0935;5,09;5,0935;5,09;2;6823225;5,092
23.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,092
24.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,092
27.05.2013;CNYRUB_TOM;5,121;5,121;5,121;5,121;1;5121000;5,121
28.05.2013;CNYRUB_TOM;5,13;5,13;5,13;5,13;1;3591000;5,13
29.05.2013;CNYRUB_TOM;5,1365;5,1365;5,145;5,145;2;2570800;5,1416
30.05.2013;CNYRUB_TOM;0;0;0;0;0;0;5,1416
31.05.2013;CNYRUB_TOM;5,1635;5,1635;5,197;5,197;7;24294600;5,1691
03.06.2013;CNYRUB_TOM;5,2349;5,215;5,2399;5,215;12;44747435,8;5,2275
04.06.2013;CNYRUB_TOM;5,1975;5,1915;5,217;5,217;6;25641820;5,1959
05.06.2013;CNYRUB_TOM;5,2056;5,2056;5,247;5,2465;12;46815885;5,225
06.06.2013;CNYRUB_TOM;5,2462;5,2345;5,2462;5,2345;5;19648300;5,2395
07.06.2013;CNYRUB_TOM;5,242;5,242;5,275;5,275;5;19703100;5,2542
10.06.2013;CNYRUB_TOM;5,241;5,241;5,264;5,264;7;38354850;5,2541
11.06.2013;CNYRUB_TOM;5,271;5,2695;5,2739;5,2739;3;11835956;5,2698
13.06.2013;CNYRUB_TOM;5,26;5,24;5,2687;5,24;10;52115160;5,2642
14.06.2013;CNYRUB_TOM;5,172;5,172;5,194;5,194;6;15038900;5,1858
17.06.2013;CNYRUB_TOM;5,16;5,16;5,1695;5,1695;4;10549743;5,1613
18.06.2013;CNYRUB_TOM;5,2054;5,192;5,23;5,23;10;35064610;5,2048
19.06.2013;CNYRUB_TOM;5,222;5,216;5,252;5,252;9;33262800;5,2382
20.06.2013;CNYRUB_TOM;5,335;5,333;5,355;5,346;16;68472157;5,346
21.06.2013;CNYRUB_TOM;5,33;5,33;5,3575;5,35;10;49203000;5,3482
24.06.2013;CNYRUB_TOM;5,3585;5,3585;5,3602;5,3602;2;5733714;5,3586
25.06.2013;CNYRUB_TOM;5,3259;5,3259;5,35;5,35;6;24551000;5,3372
26.06.2013;CNYRUB_TOM;5,341;5,341;5,353;5,353;3;16037000;5,3457
27.06.2013;CNYRUB_TOM;5,35;5,35;5,35;5,35;1;5350;5,35
28.06.2013;CNYRUB_TOM;5,343;5,335;5,343;5,342;3;14149950;5,3396
01.07.2013;CNYRUB_TOM;5,351;5,351;5,382;5,382;4;12503160;5,3662
02.07.2013;CNYRUB_TOM;5,3817;5,3817;5,4029;5,4029;3;8202396,2;5,3822
03.07.2013;CNYRUB_TOM;0;0;0;0;0;0;5,3822
04.07.2013;CNYRUB_TOM;5,403;5,403;5,415;5,415;2;4274265;5,4036
05.07.2013;CNYRUB_TOM;5,405;5,405;5,4169;5,4125;3;7055012,5;5,4144
08.07.2013;CNYRUB_TOM;5,4185;5,4185;5,431;5,426;10;58614451;5,4268
09.07.2013;CNYRUB_TOM;5,4001;5,38;5,41;5,387;9;38664550;5,4001
10.07.2013;CNYRUB_TOM;5,3684;5,3673;5,3759;5,3685;5;29526000;5,3684
11.07.2013;CNYRUB_TOM;5,303;5,303;5,324;5,303;6;27865850;5,3078
12.07.2013;CNYRUB_TOM;5,3219;5,321;5,342;5,328;6;26749215;5,3338
15.07.2013;CNYRUB_TOM;5,3065;5,302;5,3199;5,3199;9;19845765,4;5,3163
16.07.2013;CNYRUB_TOM;5,2985;5,298;5,2985;5,298;2;5441546;5,2985
17.07.2013;CNYRUB_TOM;5,2881;5,285;5,2881;5,285;4;16655150;5,2873
18.07.2013;CNYRUB_TOM;5,275;5,27;5,275;5,274;3;18984000;5,2733
19.07.2013;CNYRUB_TOM;5,2845;5,28;5,2845;5,28;2;9508500;5,2825
22.07.2013;CNYRUB_TOM;5,267;5,246;5,267;5,246;4;12093741;5,2513
23.07.2013;CNYRUB_TOM;5,2565;5,2565;5,2859;5,2859;4;7265485;5,2648
24.07.2013;CNYRUB_TOM;5,277;5,2709;5,277;5,2717;3;7381170;5,2723
25.07.2013;CNYRUB_TOM;5,3;5,3;5,32;5,3189;6;43153550;5,3034
26.07.2013;CNYRUB_TOM;5,3161;5,315;5,327;5,327;7;37222900;5,3176
29.07.2013;CNYRUB_TOM;5,356;5,34;5,3565;5,3565;5;21831163,5;5,3521
30.07.2013;CNYRUB_TOM;5,3616;5,3615;5,374;5,37;5;12952354;5,3633
31.07.2013;CNYRUB_TOM;5,383;5,375;5,386;5,386;8;34436600;5,3807
01.08.2013;CNYRUB_TOM;5,374;5,373;5,385;5,3825;9;23104495,1;5,3744
02.08.2013;CNYRUB_TOM;5,3935;5,3935;5,4;5,4;2;4048375;5,3978
05.08.2013;CNYRUB_TOM;5,3679;5,3676;5,375;5,375;8;7692798,5;5,3721
06.08.2013;CNYRUB_TOM;5,3813;5,3681;5,3813;5,3681;5;13169295;5,3752
07.08.2013;CNYRUB_TOM;5,385;5,382;5,4;5,4;18;75554750;5,3891
08.08.2013;CNYRUB_TOM;0;0;0;0;0;0;5,3891
09.08.2013;CNYRUB_TOM;5,3725;5,3725;5,3748;5,3748;2;1848535,6;5,3737
12.08.2013;CNYRUB_TOM;5,374;5,374;5,3779;5,3779;2;8064900;5,3766
13.08.2013;CNYRUB_TOM;5,3965;5,3965;5,4049;5,4038;3;7128090;5,4001
14.08.2013;CNYRUB_TOM;5,403;5,402;5,416;5,416;12;29670272;5,4074
15.08.2013;CNYRUB_TOM;5,382;5,382;5,4;5,3975;4;16178550;5,3929
16.08.2013;CNYRUB_TOM;5,3861;5,3861;5,3861;5,3861;1;1346525;5,3861
19.08.2013;CNYRUB_TOM;5,382;5,382;5,3879;5,3879;2;8078900;5,3859
20.08.2013;CNYRUB_TOM;5,3877;5,3877;5,3989;5,3989;17;62277795;5,392
