Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
20.06.2005;EURRUB_TOM;34,79;34,7701;34,83;34,81;21;157224489,9;34,8073
21.06.2005;EURRUB_TOM;34,665;34,5775;34,675;34,585;29;164275431,2;34,6353
22.06.2005;EURRUB_TOM;34,78;34,72;34,815;34,72;23;113621579,7;34,7679
23.06.2005;EURRUB_TOM;34,68;34,6;34,68;34,62;25;190900784,3;34,6316
24.06.2005;EURRUB_TOM;34,52;34,52;34,62;34,56;24;73247680;34,5671
27.06.2005;EURRUB_TOM;34,74;34,73;34,78;34,74;21;114085930;34,7505
28.06.2005;EURRUB_TOM;34,67;34,63;34,7;34,63;18;206829280;34,6622
29.06.2005;EURRUB_TOM;34,53;34,5;34,575;34,575;30;197605053,5;34,5248
30.06.2005;EURRUB_TOM;34,62;34,57;34,62;34,58;32;215794912;34,5872
01.07.2005;EURRUB_TOM;34,5299;34,52;34,62;34,62;21;126252727;34,5519
04.07.2005;EURRUB_TOM;34,35;34,33;34,41;34,33;26;182695860;34,3777
05.07.2005;EURRUB_TOM;34,28;34,22;34,35;34,345;33;219366824;34,2832
06.07.2005;EURRUB_TOM;34,4;34,32;34,43;34,32;29;196556296;34,381
07.07.2005;EURRUB_TOM;34,39;34,39;34,55;34,5;27;196485571,5;34,4772
08.07.2005;EURRUB_TOM;34,37;34,33;34,3725;34,35;23;88470499,5;34,3575
11.07.2005;EURRUB_TOM;34,52;34,47;34,52;34,475;13;78823010;34,4958
12.07.2005;EURRUB_TOM;34,77;34,77;34,84;34,805;27;149480653,2;34,8113
13.07.2005;EURRUB_TOM;34,8726;34,8;34,8726;34,805;27;118064286,2;34,8478
14.07.2005;EURRUB_TOM;35,54;34,5781;35,54;34,645;46;286172754,3;34,6498
15.07.2005;EURRUB_TOM;34,73;34,65;34,74;34,65;36;279469061,5;34,7123
18.07.2005;EURRUB_TOM;34,6;34,595;34,625;34,62;30;52782282,3;34,6113
19.07.2005;EURRUB_TOM;34,505;34,45;34,505;34,45;34;92810541;34,4636
20.07.2005;EURRUB_TOM;34,585;34,585;34,66;34,63;19;47905589,5;34,6139
21.07.2005;EURRUB_TOM;34,78;34,765;34,8101;34,78;27;97648105,1;34,7874
22.07.2005;EURRUB_TOM;34,8;34,8;34,815;34,815;14;39362216,5;34,803
25.07.2005;EURRUB_TOM;34,55;34,53;34,63;34,63;20;62181181,5;34,5451
26.07.2005;EURRUB_TOM;34,57;34,485;34,595;34,49;41;141342156,8;34,558
27.07.2005;EURRUB_TOM;34,47;34,43;34,48;34,46;20;153876465;34,4628
28.07.2005;EURRUB_TOM;34,5701;34,56;34,615;34,585;22;115432782,5;34,5712
29.07.2005;EURRUB_TOM;34,7101;34,64;34,725;34,67;21;146043306,5;34,6896
01.08.2005;EURRUB_TOM;34,79;34,79;34,925;34,905;21;86803242;34,8607
