Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
13.04.2009;EURUSD_TOM;1,3185;1,3185;1,33;1,3285;46;699902934,3;1,3227
14.04.2009;EURUSD_TOM;1,3346;1,3254;1,3346;1,3254;18;261478917,6;1,3294
15.04.2009;EURUSD_TOM;1,3235;1,3163;1,3283;1,3176;78;1294029958;1,3224
16.04.2009;EURUSD_TOM;1,3188;1,3134;1,321;1,321;75;945949461;1,3178
17.04.2009;EURUSD_TOM;1,3094;1,3045;1,3115;1,3051;55;584616485;1,3083
20.04.2009;EURUSD_TOM;1,2993;1,2951;1,3005;1,2981;69;875444080,2;1,2975
21.04.2009;EURUSD_TOM;1,2937;1,2909;1,298;1,2934;97;1489752899;1,2942
22.04.2009;EURUSD_TOM;1,2941;1,2887;1,2964;1,295;65;1744411683;1,2925
23.04.2009;EURUSD_TOM;1,3018;1,3003;1,3087;1,3035;105;2360633238;1,304
24.04.2009;EURUSD_TOM;1,3175;1,3165;1,3271;1,324;100;1680436537;1,3214
27.04.2009;EURUSD_TOM;1,3147;1,3099;1,3168;1,3114;45;959085697,6;1,3133
28.04.2009;EURUSD_TOM;1,3005;1,2973;1,3041;1,3041;50;979802439;1,3009
29.04.2009;EURUSD_TOM;1,3195;1,3176;1,3266;1,3249;104;1833572221;1,3217
30.04.2009;EURUSD_TOM;1,3304;1,3229;1,3455;1,3229;108;1754169745;1,3304
04.05.2009;EURUSD_TOM;1,3303;1,3222;1,331;1,3222;29;778516054,4;1,3278
05.05.2009;EURUSD_TOM;1,3381;1,333;1,3425;1,3425;69;848892872,3;1,3369
06.05.2009;EURUSD_TOM;1,3291;1,3282;1,3371;1,3367;68;840080215,8;1,3316
07.05.2009;EURUSD_TOM;1,3306;1,3257;1,3381;1,3377;167;3695549550;1,3319
08.05.2009;EURUSD_TOM;1,34;1,3387;1,3492;1,3492;66;1644136597;1,3427
12.05.2009;EURUSD_TOM;1,362;1,3612;1,3701;1,366;107;2410019452;1,3653
13.05.2009;EURUSD_TOM;1,3695;1,3588;1,3712;1,3588;160;4954113361;1,3655
14.05.2009;EURUSD_TOM;1,3553;1,3537;1,3616;1,3564;86;2959733379;1,3578
15.05.2009;EURUSD_TOM;1,3614;1,3515;1,3614;1,3557;113;2668197554;1,3569
18.05.2009;EURUSD_TOM;1,3455;1,3446;1,3509;1,3491;74;2155193971;1,3462
