Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
01.12.2014;GBPRUB_TOM;80,96;80,96;82,5195;82,377;6;33306140;82,4409
02.12.2014;GBPRUB_TOM;82,34;82,34;83,22;83,22;2;1080980;83,1523
03.12.2014;GBPRUB_TOM;84,02;84,02;84,02;84,02;1;756180;84,02
04.12.2014;GBPRUB_TOM;82,46;82,46;83,68;83,68;7;20281750;83,1219
05.12.2014;GBPRUB_TOM;84,15;84,15;84,18;84,18;2;1430610;84,1535
08.12.2014;GBPRUB_TOM;83,5935;83,5;84,025;83,56;6;4606958,5;83,7629
09.12.2014;GBPRUB_TOM;84,95;84,74;84,953;84,953;5;4416459;84,9319
10.12.2014;GBPRUB_TOM;85,243;85,1;85,26;85,1;5;35695601,5;85,1924
11.12.2014;GBPRUB_TOM;86,15;85,994;86,66;86,64;4;345444;86,361
12.12.2014;GBPRUB_TOM;89,3;89,3;90;90;2;6091300;89,5779
15.12.2014;GBPRUB_TOM;92;92;93,8595;93,8295;10;20525879,5;92,8773
16.12.2014;GBPRUB_TOM;96,062;96,062;96,062;96,062;1;576372;96,062
17.12.2014;GBPRUB_TOM;111,669;101,69;111,669;101,74;5;16886735;104,8866
18.12.2014;GBPRUB_TOM;96,04;92,42;96,04;92,42;3;15777960;95,048
19.12.2014;GBPRUB_TOM;93,96;93,26;94,25;93,26;5;5540379,5;93,9047
22.12.2014;GBPRUB_TOM;88,58;85,5;88,58;85,5;8;5834310;87,0793
23.12.2014;GBPRUB_TOM;86,22;84,54;86,22;84,95;11;27491030;85,3759
24.12.2014;GBPRUB_TOM;85;84,12;85;84,3;10;27595320;84,3894
25.12.2014;GBPRUB_TOM;82,08;81,46;82,08;81,48;4;24615700;81,5089
26.12.2014;GBPRUB_TOM;80,9195;80,9195;84,7025;84,6565;10;15585226,5;82,0275
29.12.2014;GBPRUB_TOM;87,327;87;89,5595;87;13;19596743,5;87,8778
30.12.2014;GBPRUB_TOM;89,35;89,35;89,35;89,35;1;1787000;89,35
05.01.2015;GBPRUB_TOM;0;0;0;0;0;0;89,35
06.01.2015;GBPRUB_TOM;90;90;90;90;2;180000;90
08.01.2015;GBPRUB_TOM;90;90;90;90;1;270000;90
09.01.2015;GBPRUB_TOM;0;0;0;0;0;0;90
12.01.2015;GBPRUB_TOM;91;91;96,1;96,1;9;11031140;95,096
13.01.2015;GBPRUB_TOM;98,06;98,06;100,6;100;7;7782842,5;98,517
14.01.2015;GBPRUB_TOM;101;101;101,16;101,16;2;6170600;101,1574
15.01.2015;GBPRUB_TOM;99,4685;98,35;99,929;98,35;10;56681379,5;99,0933
16.01.2015;GBPRUB_TOM;99,0365;98,9865;99,52;99,112;9;33423475,5;99,1795
19.01.2015;GBPRUB_TOM;98,5;97,6;98,5;97,7775;13;68059321,5;98,2097
20.01.2015;GBPRUB_TOM;97,9705;97,9705;99,5;99,17;14;20371527,5;98,4132
21.01.2015;GBPRUB_TOM;99,229;98,3005;99,9;98,3005;25;117097961,5;99,5731
22.01.2015;GBPRUB_TOM;98,977;96,98;99,29;96,98;22;33255442;98,0986
23.01.2015;GBPRUB_TOM;95,0725;94,85;96,44;96,301;23;43356280;95,0796
26.01.2015;GBPRUB_TOM;98,7;98,3235;102,2;102,2;7;8193514;98,717
27.01.2015;GBPRUB_TOM;102,1;101,42;102,75;101,42;10;57211438;102,346
28.01.2015;GBPRUB_TOM;101,7465;101,6965;103,0695;103,0695;8;16763960;102,2193
29.01.2015;GBPRUB_TOM;104,2105;104;104,5;104;6;22415330;104,2573
30.01.2015;GBPRUB_TOM;103,4295;103,4295;106,577;104,28;17;65270573;103,934
02.02.2015;GBPRUB_TOM;104,39;103,2;105,74;103,2;8;10466250;104,6625
03.02.2015;GBPRUB_TOM;101,74;99,52;101,74;99,8;15;26307100;100,7935
04.02.2015;GBPRUB_TOM;98,04;98,04;101,4;101,4;4;7775200;99,6821
05.02.2015;GBPRUB_TOM;104,6;101,78;104,64;102;9;34595920;103,8917
06.02.2015;GBPRUB_TOM;100,96;100,74;102,55;102,55;5;37067360;101,8334
09.02.2015;GBPRUB_TOM;99,55;99,55;100,7;100;5;9705500;100,0567
10.02.2015;GBPRUB_TOM;99,6;99,42;100,4;100,4;5;11312631;100,1118
11.02.2015;GBPRUB_TOM;100,75;99,5;101,16;99,5;8;34658072;100,7502
12.02.2015;GBPRUB_TOM;102,26;98,84;102,26;100,95;12;5163540;99,2988
13.02.2015;GBPRUB_TOM;100;98;100,7;98;5;22356600;99,3627
16.02.2015;GBPRUB_TOM;96,64;95,7;96,92;95,7;8;20093920;96,6054
17.02.2015;GBPRUB_TOM;96,22;95,82;96,94;96,94;13;14330580;96,1784
18.02.2015;GBPRUB_TOM;95,8;95;96,6;95;6;19478800;95,9547
19.02.2015;GBPRUB_TOM;96,1;95,4;96,1;95,4;8;10166340;95,9089
20.02.2015;GBPRUB_TOM;95,52;94,8;95,74;95,72;11;4947480;95,1438
24.02.2015;GBPRUB_TOM;97,92;97,3;97,92;97,42;12;34825880;97,5515
25.02.2015;GBPRUB_TOM;97;95,54;97,06;95,54;16;35036840;96,5202
26.02.2015;GBPRUB_TOM;94,64;93,4;94,64;93,4;16;14428420;94,3034
27.02.2015;GBPRUB_TOM;94,82;94,14;95,5;95,5;13;22662400;94,4267
02.03.2015;GBPRUB_TOM;95,98;95,66;95,98;95,9;6;7477000;95,859
03.03.2015;GBPRUB_TOM;96;95,58;96,24;95,58;9;25448040;96,0303
04.03.2015;GBPRUB_TOM;95,08;94,7;95,18;94,7;11;42879660;95,0769
05.03.2015;GBPRUB_TOM;94,3;92,5;94,36;92,5;19;22513550;93,8065
06.03.2015;GBPRUB_TOM;91,3;90,4;91,3;90,4;9;6001230;90,9277
10.03.2015;GBPRUB_TOM;91,64;91,04;93,6;93,6;13;89467700;91,5739
11.03.2015;GBPRUB_TOM;94,39;92;94,81;92;15;23735040;94,5619
12.03.2015;GBPRUB_TOM;91,22;90,5;91,58;90,86;15;34924090;91,1856
13.03.2015;GBPRUB_TOM;91,06;90,38;91,31;91,11;15;15757030;91,0811
16.03.2015;GBPRUB_TOM;91,5;91,5;92,23;92,23;8;5057350;91,9518
17.03.2015;GBPRUB_TOM;91,37;90,5;91,67;90,5;9;5209730;91,3988
18.03.2015;GBPRUB_TOM;90,8;88,9;90,8;88,9;17;35850520;89,8509
19.03.2015;GBPRUB_TOM;88,95;87,9;89,75;87,9;16;44691310;89,0265
20.03.2015;GBPRUB_TOM;88,63;88,42;89,39;88,75;14;112663310;88,5718
23.03.2015;GBPRUB_TOM;88,17;87,66;88,95;87,66;11;128537260;88,6464
24.03.2015;GBPRUB_TOM;87,97;85,8;87,97;86,36;16;17495010;87,0399
25.03.2015;GBPRUB_TOM;85,8;84,3;85,8;84,63;21;45118070;84,6493
26.03.2015;GBPRUB_TOM;84,25;84,2;85,15;85,15;14;13706200;84,6062
27.03.2015;GBPRUB_TOM;85,45;85,21;86,09;85,5;23;105007780;85,5809
30.03.2015;GBPRUB_TOM;86,79;85,2;86,89;85,2;8;5017170;86,5029
31.03.2015;GBPRUB_TOM;85,25;85,2;86,14;86,14;11;8153520;85,8265
01.04.2015;GBPRUB_TOM;86,44;85,47;86,83;85,47;14;10335810;86,1318
02.04.2015;GBPRUB_TOM;85,08;83,95;85,08;83,95;33;9552600;84,5363
03.04.2015;GBPRUB_TOM;83,75;83,75;84,76;84,76;10;65271170;84,4388
06.04.2015;GBPRUB_TOM;84,51;82,888;84,6;82,888;13;64089158;84,1065
07.04.2015;GBPRUB_TOM;82,47;81,41;82,52;81,41;19;66016815;82,2127
08.04.2015;GBPRUB_TOM;80,375;79,845;80,7;79,845;14;20561870;80,3198
09.04.2015;GBPRUB_TOM;78,495;76,8;78,495;76,8;22;27348455;77,6945
10.04.2015;GBPRUB_TOM;74,775;73,91;77,9;77,9;21;54624770;75,5529
13.04.2015;GBPRUB_TOM;75,95;75,95;77,63;77,59;19;42046210;76,7267
14.04.2015;GBPRUB_TOM;76,095;75;76,415;75;16;15503575;75,9979
15.04.2015;GBPRUB_TOM;74,643;74,09;75;74,09;24;72423271;74,433
16.04.2015;GBPRUB_TOM;73,755;73,625;74,905;74,66;24;24488325;74,4326
17.04.2015;GBPRUB_TOM;75,17;75,17;77,555;77,555;17;27095110;76,3243
20.04.2015;GBPRUB_TOM;77,01;76,95;80;78,75;27;100165570;77,8287
21.04.2015;GBPRUB_TOM;80,1;79,4;80,47;79,92;25;61170910;80,1716
22.04.2015;GBPRUB_TOM;80,22;79,48;80,32;79,48;12;24575680;80,0511
23.04.2015;GBPRUB_TOM;77,84;76,285;77,84;76,635;20;13883705;76,7056
24.04.2015;GBPRUB_TOM;75,88;75,88;77,7;77,53;19;25149335;76,6748
27.04.2015;GBPRUB_TOM;77,285;77,285;78,89;78,835;31;59730975;77,9778
